experiment,encoder,run_dir,mask,exact_hit@1,exact_hit@5,exact_hit@8,exact_hit@10,mrr,relevant_hit@1,relevant_hit@5,relevant_hit@8,relevant_hit@10,ndcg@1,ndcg@5,ndcg@8,ndcg@10,macro_hit@1,macro_hit@5,n_queries,n_in_pool,n_conditions,confidence_auc,coverage_accuracy_curve
scgpt_lora_head,scgpt,results/scgpt_lora_head/20251222_024148,True,0.07182751786679478,0.23572157828358656,0.3014833943907273,0.3347546693892259,0.14217895774408898,0.24551078013332533,0.4402738574259804,0.5077773106720317,0.5447120293075491,0.07182751786679478,0.15540415198316915,0.17756472036326137,0.18739210269640466,0.06719310703734495,0.22021139073836954,16651,16651,282,0.08940966265456919,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.18389423076923078, 0.14774774774774774, 0.12695234281137366, 0.11531531531531532, 0.10667948101874099, 0.1035035035035035, 0.09713403123391111, 0.09234234234234234, 0.0895621996796583, 0.08612612612612612, 0.08320594016160734, 0.08208208208208208, 0.07964520003695832, 0.0785928785928786, 0.07623318385650224, 0.07507507507507508, 0.074542499823359, 0.07320653987320654, 0.07238588949298268, 0.07182751786679478]}"
scgpt_lora_head,scgpt,results/scgpt_lora_head/20251222_024148,False,0.0711068404300042,0.23746321542249715,0.30058254759473907,0.3333133145156447,0.14227276020411567,0.2462314575701159,0.4396132364422557,0.5093988349048105,0.545732989009669,0.0711068404300042,0.15625171331619137,0.1775254415899111,0.18718149175122517,0.0658357555161462,0.22035944318240605,16651,16651,282,0.08920993702465504,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.2091346153846154, 0.15375375375375375, 0.13255907088506208, 0.11381381381381381, 0.10403652090341182, 0.0990990990990991, 0.09490303758366227, 0.09024024024024024, 0.08689268553123332, 0.08504504504504505, 0.0816772221008954, 0.07967967967967968, 0.07853645015245311, 0.07722007722007722, 0.07575272261370916, 0.07417417417417417, 0.07298805906874868, 0.07220553887220554, 0.07150082184852699, 0.0711068404300042]}"
scgpt_head_only,scgpt,results/scgpt_head_only/20251222_010233,True,0.07561107440994534,0.23235841691189718,0.303645426701099,0.3408804276019458,0.14336307081037128,0.25109603026845234,0.43847216383400395,0.5014113266470482,0.5331211338658339,0.07561107440994534,0.1544659041343186,0.1784641698962616,0.18946966232234555,0.06846295202111391,0.21702694041543666,16651,16651,282,0.11162346933008327,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.2608173076923077, 0.2126126126126126, 0.17981577893472167, 0.15825825825825826, 0.1446419990389236, 0.13113113113113112, 0.12287626565985928, 0.11576576576576576, 0.1095835557928457, 0.10354354354354355, 0.09936667394627648, 0.0947947947947948, 0.09174905294280698, 0.08923208923208924, 0.08664317745035234, 0.08453453453453454, 0.08252667279022115, 0.07954621287954622, 0.07763307624225566, 0.07561107440994534]}"
scgpt_head_only,scgpt,results/scgpt_head_only/20251222_010233,False,0.0794546874061618,0.23932496546753948,0.3100114107260825,0.3462254519248093,0.14909340970988919,0.2556603207014594,0.44423758332832863,0.5035133025043541,0.5369046904089845,0.0794546874061618,0.16068967323676753,0.1845074968279167,0.1952034940024046,0.07138464873020124,0.22489539186017843,16651,16651,282,0.11025125987518575,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.23317307692307693, 0.1927927927927928, 0.16900280336403684, 0.15165165165165165, 0.14079769341662662, 0.13133133133133132, 0.12218980607516733, 0.11546546546546546, 0.1101174586225307, 0.10618618618618618, 0.10209652762611925, 0.09779779779779779, 0.09368936524069112, 0.09103389103389103, 0.08984625240230622, 0.08693693693693694, 0.08464636472832615, 0.08208208208208208, 0.08104690858515615, 0.0794546874061618]}"
scgpt,scgpt,results/scgpt/20251222_005121,True,0.06281904990691249,0.18677556903489279,0.24491021560266651,0.27391748243348746,0.11631378734105298,0.20124917422377034,0.39300942886313134,0.4606329950153144,0.4961864152303165,0.06281904990691249,0.12492852217431005,0.14450599957567314,0.15306847077500202,0.06295375861187473,0.1843454702263287,16651,16651,282,0.08986154403423699,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.1971153846153846, 0.15855855855855855, 0.14096916299559473, 0.12552552552552554, 0.11388755406054782, 0.1047047047047047, 0.09833533550712202, 0.09474474474474474, 0.09022957821676456, 0.08696696696696697, 0.08222319283686394, 0.07937937937937938, 0.0765037420308602, 0.0743028743028743, 0.0720691864189622, 0.07004504504504505, 0.06832473680491769, 0.06619953286619953, 0.06429384245795929, 0.06281904990691249]}"
scgpt,scgpt,results/scgpt/20251222_005121,False,0.06444057413969131,0.19536364182331392,0.25415890937481234,0.2831661762056333,0.12168078469952232,0.208035553420215,0.40484055011711007,0.472524172722359,0.5079574800312293,0.06444057413969131,0.13108913486949672,0.1508959214323811,0.15945264394665984,0.06376865197257442,0.1899321426613079,16651,16651,282,0.08868377818695242,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.18509615384615385, 0.15135135135135136, 0.13215859030837004, 0.11891891891891893, 0.11004324843825083, 0.1059059059059059, 0.1000514844688519, 0.093993993993994, 0.09022957821676456, 0.08636636636636637, 0.08309674601441362, 0.07947947947947948, 0.07770488773907419, 0.07507507507507508, 0.07319026265214607, 0.07102102102102102, 0.06874867519253869, 0.06626626626626626, 0.06530534833733721, 0.06444057413969131]}"
