experiment,encoder,run_dir,mask,exact_hit@1,exact_hit@5,exact_hit@8,exact_hit@10,mrr,relevant_hit@1,relevant_hit@5,relevant_hit@8,relevant_hit@10,ndcg@1,ndcg@5,ndcg@8,ndcg@10,macro_hit@1,macro_hit@5,n_queries,n_in_pool,n_conditions,confidence_auc,coverage_accuracy_curve
pca,pca,results/pca/20251222_020840,True,0.18719596420635398,0.42477929253498287,0.5048946009248694,0.5420695453726503,0.2891257782315377,0.40994534862771004,0.6175605068764639,0.6736532340399976,0.7015794847156327,0.18719596420635398,0.311047680239485,0.33803958861699807,0.3490205349785947,0.18298310209233087,0.4119256226068732,16651,16651,282,0.26146810597759107,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.6201923076923077, 0.48768768768768767, 0.408089707649179, 0.35735735735735735, 0.3250840941854877, 0.3009009009009009, 0.2831645786854299, 0.26756756756756755, 0.25547250400427124, 0.24420420420420422, 0.23520419305525223, 0.22772772772772773, 0.22027164372170377, 0.21492921492921493, 0.20924087123638693, 0.20352852852852854, 0.19910972938599591, 0.19539539539539538, 0.19073207738019976, 0.18719596420635398]}"
pca,pca,results/pca/20251222_020840,False,0.1871359077532881,0.4320461233559546,0.5108401897783917,0.5456128761035374,0.2914816594265276,0.4183532520569335,0.6215242327788121,0.6788180890036635,0.7058434928833103,0.1871359077532881,0.3149218836774629,0.34150728786583423,0.3517945444860718,0.18254435197512198,0.42038755133057365,16651,16651,282,0.26869638710093674,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.6430288461538461, 0.5021021021021022, 0.4181017220664798, 0.372972972972973, 0.3402210475732821, 0.3155155155155155, 0.2948343916251931, 0.2797297297297297, 0.26308061932728244, 0.2508108108108108, 0.24077309456213147, 0.23243243243243245, 0.22479903908343343, 0.2174174174174174, 0.21236386931454196, 0.2066066066066066, 0.2008054829364799, 0.19586252919586253, 0.19041598179289418, 0.1871359077532881]}"
logreg,logreg,results/logreg/20251222_021313,True,0.3532520569335175,0.6430844994294637,0.7101675575040538,0.7382739775388866,0.47595601770426105,0.625127619962765,0.811302624466999,0.8502792625067563,0.8658338838508197,0.3532520569335175,0.508110244556917,0.5307178789072208,0.5390120425419843,0.3101654142435005,0.6004880871293267,16651,16651,282,0.5129932121966054,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.8798076923076923, 0.8258258258258259, 0.7657188626351622, 0.715015015015015, 0.6681883709754926, 0.6316316316316316, 0.5979062982666895, 0.565015015015015, 0.5399092365189535, 0.5162762762762763, 0.4956322341122516, 0.4744744744744745, 0.4535710985863439, 0.4367224367224367, 0.4201633568225496, 0.4045045045045045, 0.3895287218257613, 0.3778445111778445, 0.365406498925275, 0.3532520569335175]}"
logreg,logreg,results/logreg/20251222_021313,False,0.39054711428743016,0.6817007987508258,0.7418173082697735,0.7662602846675876,0.5149845378465281,0.67143114527656,0.8330430604768483,0.8658338838508197,0.880487658398895,0.39054711428743016,0.5482062929841794,0.5684998541610268,0.5757106131856673,0.34196557442187475,0.6400729124421721,16651,16651,282,0.5540577422274763,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.9122596153846154, 0.8456456456456456, 0.7993592310772928, 0.7591591591591592, 0.7131186929360884, 0.6778778778778779, 0.6493907671185859, 0.6172672672672672, 0.5902295782167646, 0.5678078078078078, 0.5422581349639659, 0.5215215215215215, 0.5016169269149034, 0.480995280995281, 0.46460602178090965, 0.4464714714714715, 0.4314986222002402, 0.41708375041708373, 0.4038437223416361, 0.39054711428743016]}"
